run_id, final_throughput, latency_min, latency_mean, latency_p99, latency_max
14, 36.779588, 11.000000, 49.682412, 119.000000, 173.000000
12, 36.214166, 12.000000, 49.624340, 118.000000, 211.000000
3, 43.306139, 9.000000, 41.509864, 102.000000, 235.000000
8, 38.277410, 13.000000, 47.411503, 115.000000, 231.000000
1, 44.941996, 10.000000, 42.419005, 103.000000, 999.000000
11, 36.240570, 13.000000, 49.679633, 127.000000, 286.000000
10, 36.323083, 10.000000, 49.503195, 128.000000, 333.000000
15, 36.007726, 11.000000, 50.735760, 128.000000, 184.000000
6, 42.305839, 11.000000, 42.632676, 107.000000, 225.000000
9, 37.072518, 14.000000, 48.312309, 111.000000, 147.000000
17, 35.890632, 14.000000, 51.285079, 123.000000, 201.000000
13, 36.533344, 13.000000, 49.815226, 118.000000, 164.000000
4, 42.685675, 11.000000, 42.092804, 109.000000, 340.000000
7, 41.725601, 11.000000, 43.696027, 108.000000, 277.000000
16, 35.839509, 13.000000, 51.116421, 129.000000, 187.000000
18, 35.327848, 12.000000, 50.426230, 124.000000, 245.000000
19, 35.383526, 14.000000, 52.357877, 133.000000, 353.000000
20, 35.716058, 13.000000, 52.670464, 126.000000, 209.000000
2, 43.695214, 11.000000, 41.062795, 110.000000, 226.000000
5, 42.412030, 11.000000, 42.371770, 106.000000, 227.000000
